model,MAE,RMSE,R2
RandomForest,0.3035991792010534,0.43480686834492216,0.8038143328723919
GradientBoosting,0.32994909352282664,0.4579734216940415,0.7823518232182389
Ridge,0.45298908605810695,0.6876165018945257,0.5093553524435663
